startdate,enddate,uid_r,text,gods_involved
07-23,07-23,V050-3,7/23: The birthday celebration of Zhanggong shengjun 张公圣君. The god is invited from the Dejitang 德济堂 to watch opera in the village.,['Zhanggong shengjun']
08-19,08-19,V050-4,8/19: The birthday celebration of Jialuo dasheng 伽罗大圣.,['Jialuo dasheng']
04-26,04-26,V051-1,4/26: The celebration of Yanggong taishi 杨公太师 is held with opera performances.,['Yanggong taishi']
08-03,08-03,V051-2,8/3: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Qiannan Zhoushê 前南周社 is held with opera performances.,"['Houtu furen', 'Zunzhu mingwang']"
04-10,04-10,V052-1,4/10: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Qiandong shushê 前东书社 is held with opera performances.,"['Houtu furen', 'Zunzhu mingwang']"
06-06,06-06,V052-2,6/6: The celebration of Fude zhengshen 福德正神 is held with opera performances.,['Fude zhengshen']
08-09,08-09,V053-1,8/9: The celebration of Huangdu yuanshuai 黄都元帅 is held with opera 演戏.,[]
10-12,10-12,V053-2,10/12: The celebration of the birthday of the Zunzhu mingwang 尊主明王 and 后土夫人of the Qiannan Pengshê 前南彭社 is held with opera 演戏.,['Zunzhu mingwang']
10-12,10-12,V054-1,10/12: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Qiannan Pengshê 前南彭社 is held with performances of opera.,"['Houtu furen', 'Zunzhu mingwang']"
09-03,09-03,V055-1,9/3: The villagers invite Yanggong taishi 杨公太师 from the Baoquanyuan 宝泉院 to watch opera.,['Yanggong taishi']
09-16,09-16,V055-2,9/16: The celebration of the birthday of the Zunzhu mingwang 尊主 明王 and Houtu furen 后土夫人 of the Qiandong zushê 前东祖社 is held.,"['Houtu furen', 'Zunzhu mingwang']"
03-16,03-16,V056-1,3/16: The celebration of Xuantian shangdi 玄天上帝 is held.,['Xuantian shangdi']
05-05,05-05,V056-2,5/5: The celebration of Lufu dashen 鲁府大神 is held.,[]
08-23,08-23,V056-3,"8/23: The celebration of Tiangong yuanshuai 田公元帅 is held. On each of these occasions, opera is performed for two days, and funds are raised on a per capita basis.","['Tiangong', 'Tiangong yuanshuai']"
04-26,04-26,V057-1,4/26: The celebration of Yanggong taishi 杨公太师 is held with opera.,['Yanggong taishi']
06-12,06-12,V057-2,6/12: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Zhangjiang qianbeishê 章江前北社 is held with opera.,"['Houtu furen', 'Zunzhu mingwang']"
06-20,06-20,V058-1,6/20: the celebration of Cuifu dama 崔府大妈 is held with opera.,['Cuifu dama']
04-26,04-26,V059-1,4/26: The birthday celebration of Yanggong taishi 杨公太师 is organized by the village as a whole. Opera is performed.,['Yanggong taishi']
05-05,05-05,V059-2,"5/5: The birthday celebration of Lufu dashen 鲁府大神 is held with marionette plays, and is organized by the Weng 翁, the Chen 陈 and the Xu 徐.",[]
05-13,05-13,V059-3,5/13: The birthday celebration of Sima shengwang 司马圣王 is organized by the village as a whole. Opera is performed.,['Sima shengwang']
07-16,07-16,V059-4,"7/16: The birthday celebration of Sanyi jiaozhu 三一教主 is held with marionette plays, and is organized by the Weng 翁, the Chen 陈 and the Xu 徐.",['Sanyi jiaozhu']
08-23,08-23,V059-5,8/23: The birthday celebration of Tiangong yuanshuai 田公元帅 is organized by the village as a whole. Opera is performed.,"['Tiangong', 'Tiangong yuanshuai']"
10-12,10-12,V059-6,10/12: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is organized by the village as a whole. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
05-02,05-02,V060-1,5/2: The birthday celebration of Wenchang dijun 文昌帝君 is organized by the Jukui shuyuan 聚奎书院.,['Wenchang dijun']
05-13,05-13,V060-2,5/13: The birthday celebration of Sima shengwang 司马圣王.,['Sima shengwang']
07-16,07-16,V060-3,"7/16: The birthday celebration of Sanyi jiaozhu 三一教主 is held with marionette plays, and is organized by the Yuetangci 月塘祠.",['Sanyi jiaozhu']
10-01,10-01,V060-4,10/1: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Yongtan dongshê 涌坛东社 and the Yongtan tangshê 涌坛汤社 is held with opera performances. This event is organized by the Lin 林 and the Tang 汤.,"['Houtu furen', 'Zunzhu mingwang']"
10-15,10-15,V060-5,10/15: The pudu 普度 rites of Universal Deliverance are organized by the Zunkongtang 尊孔堂.,[]
10-18,10-18,V060-6,"10/18: The celebration of Kongfu daren 孔府大人 is held with opera, and is organized by the Wanlinggong 万灵宫.",['Kongfu daren']
11-10,11-10,V060-7,"11/10: The birthday of Zunzhu mingwang 尊主明王 and Houtu furen 后土 夫人 is held with opera performances, and is organized by the Wu 吴, the Huang 黄 and the Zheng 郑.","['Houtu furen', 'Zunzhu mingwang']"
11-15,11-15,V060-8,11/15: Pudu rites of Universal Deliverance 普度 are organized by Yuetangci 月塘祠.,[]
03-03,03-03,V061-1,"3/3: The birthday celebration of Xuantian shangdi 玄天上帝 is held with opera, and is organized by the Ruiyundian 瑞云殿.",['Xuantian shangdi']
04-15,04-15,V061-2,4/15: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held with opera performances organized by the Yongtan wenshê 涌坛文社.,"['Houtu furen', 'Zunzhu mingwang']"
04-18,04-18,V061-3,4/18: The celebration of Huang erdaxiong 黄二大兄 is held with operas organized by Wanfutang 万福堂.,[]
07-23,07-23,V061-4,7/23: The celebration of Zhanggong shengjun 张公圣君 is held with operas organized by the Yongtan wenshê 涌坛文社.,['Zhanggong shengjun']
08-18,08-18,V061-5,8/18: The celebration of Chenfu daren 陈府大人 is held with operas organized by the Wanfutang 万福堂.,['Chenfu daren']
02-12,02-12,V062-1,2/12: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Xingxian xinshê 兴贤新社 is organized by the Zou 邹 with opera performances.,"['Houtu furen', 'Zunzhu mingwang']"
03-23,03-23,V062-2,3/23: The celebration of Tianshang shengmu 天上圣母 is organized by the village as a whole with opera performances.,['Tianshang shengmu']
05-05,05-05,V062-3,5/5: The celebration of Lufu dashen 鲁府大神 is organized by the village as a whole with opera performances.,[]
07-07,07-07,V062-4,7/7: The celebration of Lufu furen 鲁府夫人 is organized by the village as a whole with opera performances.,['Lufu furen']
07-08,07-08,V062-5,7/8: The celebration of Kanggong yuanshuai 康公元帅 is organized by the Zou 邹 with opera performances.,['Kanggong yuanshuai']
10-11,10-11,V062-6,10/11: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Wanan xueshê 万安学社 is organized by the Huang 黄 and the Hu 胡.,"['Houtu furen', 'Zunzhu mingwang']"
11-10,11-10,V062-7,"11/10: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Xingxian zushê 兴贤祖社 is organized by the Zhou 周, the Chen 陈 and the Huang 黄.","['Houtu furen', 'Zunzhu mingwang']"
01-14,01-14,V063-1,1/14: The celebration of Sanyi jiaozhu 三一教主 is organized by the Zongxiatang 宗夏堂. Marionette plays are performed.,['Sanyi jiaozhu']
02-16,02-16,V063-2,2/16: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Longjin zushê 龙津祖社 is held. Opera is performed for two days.,"['Houtu furen', 'Zunzhu mingwang']"
MM-DD,MM-DD,V063-3,"During the 3rd lunar month, on a day determined by divination, the celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Chunxing dongshê 淳兴东社, Chunxing nanshê 淳兴南社 and Longjin xishê 龙津 西社 is held. Opera is performed for two days.","['Houtu furen', 'Zunzhu mingwang']"
04-26,04-26,V063-4,4/26: The celebration of Yanggong taishi 杨公太师 is held. Opera is performed for two days.,['Yanggong taishi']
09-09,09-09,V063-5,9/9: The celebration of Yang jiuniang 杨九娘 is held. Opera is performed for two days.,['Yang jiuniang']
10-28,10-28,V063-6,"10/28: The rites of Universal Deliverance of the Lower Prime Xiayuan pudu 下元普度 are held, organized by the Xingxiatang 行夏堂. Opera is performed for two days.",[]
03-03,03-03,V064-1,3/3: The celebration of Xuanyuan shangdi 玄元上帝. Opera is performed five times over three days.,[]
03-16,03-16,V064-2,3/16: The celebration of Xuantan yuanshuai 玄坛元帅 is held with opera.,['Xuantan yuanshuai']
MM-DD,MM-DD,V064-3,"In the 4th lunar month, on a day determined by divination, the celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held.",['Xuantan yuanshuai']
05-16,05-16,V064-4,5/16: The celebration of Yuhuang dadi 玉皇大帝 is held. Opera is performed five times over three days.,['Yuhuang dadi']
08-15,08-15,V064-5,8/15: The celebration of Wengong yuanshuai 温公元帅 is held with opera.,[]
08-21,08-21,V064-6,8/21: The celebration of Tiangong yuanshuai 田公元帅 is held with opera.,"['Tiangong', 'Tiangong yuanshuai']"
03-03,03-03,V065-1,3/3: The celebration of Xuanyuan shangdi 玄元上帝 is held. Opera is performed five times over three days.,[]
03-08,03-08,V065-2,3/8: The celebration of Daxiong 大兄 is held. Marionette opera is performed.,['Daxiong']
MM-DD,MM-DD,V065-3,"In the 4th lunar month, on a day determined by divination, the celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held.",['Daxiong']
05-16,05-16,V065-4,5/16: The celebration of Yuhuang dadi 玉皇大帝 is held. Opera is performed five times over three days.,['Yuhuang dadi']
07-07,07-07,V065-5,7/7: The celebration of Lufu furen 鲁府夫人 is held.,['Lufu furen']
03-03,03-03,V066-1,3/3: The celebration of Xuanyuan shangdi 玄元上帝 is held. Opera is performed five times over three days.,[]
04-01,04-01,V066-2,4/1: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held.,"['Houtu furen', 'Zunzhu mingwang']"
05-16,05-16,V066-3,5/16: The celebration of Yuhuang dadi 玉皇大帝 is held. Opera is performed five times over three days.,['Yuhuang dadi']
07-23,07-23,V066-4,7/23: The celebration for Zhanggong shengjun 张公圣君 is held with opera.,['Zhanggong shengjun']
08-23,08-23,V066-5,8/23: The celebration of Tiangong yuanshuai 田公元帅 is held with opera.,"['Tiangong', 'Tiangong yuanshuai']"
10-29,10-29,V066-6,10/29: The celebration of Daxiong 大兄 is held with opera.,['Daxiong']
03-03,03-03,V067-1,3/3: The birthday celebration of Xuanyuan shangdi 玄元上帝. Opera is performed five times over three days.,[]
04-11,04-11,V067-2,4/11: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
05-16,05-16,V067-3,5/16: The birthday celebration of Yuhuang dadi 玉皇大帝. Opera is performed five times over three days.,['Yuhuang dadi']
06-06,06-06,V067-4,6/6: The birthday celebration of Fude zhengshen 福德正神 is held with opera.,['Fude zhengshen']
MM-DD,MM-DD,V068-1,"In the 4th lunar month, on a day determined by divination, the celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held.",['Fude zhengshen']
06-19,06-19,V068-2,6/19: The celebration of Guanyin dashi 观音大士 is held with operas.,"['Guanyin', 'Guanyin dashi']"
07-23,07-23,V068-3,7/23: The celebration of Zhanggong shengjun 张公圣君 is held with operas.,['Zhanggong shengjun']
MM-DD,MM-DD,V069-1,"In the 4th lunar month, on a day determined by divination, the celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held.",['Zhanggong shengjun']
07-16,07-16,V069-2,7/16: The celebration of Sanyi jiaozhu 三一教主 is held with operas. This event is co-sponsored by Peiwei 沛尾 village.,['Sanyi jiaozhu']
03-03,03-03,V070-1,3/3: The birthday celebration of Xuanyuan shangdi 玄元上帝 is held with operas.,[]
MM-DD,MM-DD,V070-2,"In the 4th lunar month, on a day determined by divination, the celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held.",[]
MM-DD,MM-DD,V071-1,"In the 4th lunar month, on a day determined by divination, the celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held.",[]
04-09,04-09,V071-2,4/9: The celebration of Tiangong yuanshuai 田公元帅 is held with operas.,"['Tiangong', 'Tiangong yuanshuai']"
06-06,06-06,V071-3,6/6: The celebration of Fude zhengshen 福德正神 is held with operas.,['Fude zhengshen']
02-27,02-27,V072-1,2/27: The birthday celebration of Daye 大爷 is organized by the village as a whole. Opera is performed and Daoist ritual masters are invited to conduct rites. Funding is gathered on a per capita basis.,['Daye']
03-10,03-10,V072-2,3/10: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Baofu shushê 保福书社 is organized by the Li 李.,"['Houtu furen', 'Zunzhu mingwang']"
10-22,10-22,V072-3,Opera is performed 10/22: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Wanan dongshê 万安东社 is organized by the Yang 杨. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
03-03,03-03,V073-1,3/3: The celebration of Xuantian shangdi 玄天上帝 is held with opera.,['Xuantian shangdi']
04-13,04-13,V073-2,4/13: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Baofu shushê 保福书社 is held with opera.,"['Houtu furen', 'Zunzhu mingwang']"
06-06,06-06,V073-3,6/6: The celebration of Fude zhengshen 福德正神 is held with opera.,['Fude zhengshen']
03-03,03-03,V074-1,3/3: The birthday celebration of Xuantian shangdi 玄天上帝. Opera is performed.,['Xuantian shangdi']
10-15,10-15,V074-2,10/15: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
03-27,03-27,V075-1,"3/27: The celebration of Tianshang shengmu 天上圣母 is organized by the village as a whole. Opera is performed, and funds are raised on a per capita basis.",['Tianshang shengmu']
04-04,04-04,V075-2,4/4: The celebration of Tiangong yuanshuai 田公元帅 is organized by the Chen 陈 Opera is performed.,"['Tiangong', 'Tiangong yuanshuai']"
07-16,07-16,V075-3,"7/16: the celebration of Sanyi jiaozhu 三一教主 is organized by the village as a whole. Opera is performed, and funds are raised on a per capita basis.",['Sanyi jiaozhu']
10-07,10-07,V075-4,10/7: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Jiyi xingshê 积义兴社is organized by the Zhou 周. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
10-11,10-11,V075-5,10/11: The celebration of the Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Jiqing zushê 积庆祖社is organized by the Chen 陈. Opera is performed.,"['Houtu furen', 'Zunzhu mingwang']"
10-14,10-14,V076-1,10/14: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Daoist ritual masters are invited to hold a jiao ritual 做醮.,"['Houtu furen', 'Zunzhu mingwang']"
04-09,04-09,V077-1,4/9: The celebration of Tiangong yuanshuai 田公元帅 is organized by the village as a whole. Opera is performed and funds are raised on a per capita basis.,"['Tiangong', 'Tiangong yuanshuai']"
